	loss	val_loss	batch_size	dataset	depth	epochs	first_layer	kappa	learning_rate	num_components	seed
0	2713.5095770587964	2426.1605879054778	50	GTEX	1	100	100	0.0	0.0015	125	8285
1	2408.1454091969144	2350.620854018759	50	GTEX	1	100	100	0.0	0.0015	125	8285
2	2367.3625671122386	2325.5596724245484	50	GTEX	1	100	100	0.0	0.0015	125	8285
3	2348.2092743677463	2300.8923103129455	50	GTEX	1	100	100	0.0	0.0015	125	8285
4	2333.9039633253174	2284.452503044796	50	GTEX	1	100	100	0.0	0.0015	125	8285
5	2325.8172832427363	2281.233232737494	50	GTEX	1	100	100	0.0	0.0015	125	8285
6	2319.2127103111466	2277.140065472389	50	GTEX	1	100	100	0.0	0.0015	125	8285
7	2314.6894762573693	2270.356232733781	50	GTEX	1	100	100	0.0	0.0015	125	8285
8	2309.2318796697987	2266.9698804267914	50	GTEX	1	100	100	0.0	0.0015	125	8285
9	2306.806198969529	2264.775767511288	50	GTEX	1	100	100	0.0	0.0015	125	8285
10	2303.045527133315	2259.9161845740255	50	GTEX	1	100	100	0.0	0.0015	125	8285
11	2301.385006464685	2258.834532763115	50	GTEX	1	100	100	0.0	0.0015	125	8285
12	2299.110029566108	2256.1198338265654	50	GTEX	1	100	100	0.0	0.0015	125	8285
13	2296.030752641165	2253.937716988103	50	GTEX	1	100	100	0.0	0.0015	125	8285
14	2294.027713506869	2254.317881304955	50	GTEX	1	100	100	0.0	0.0015	125	8285
15	2292.4512435415045	2250.3976644653785	50	GTEX	1	100	100	0.0	0.0015	125	8285
16	2291.757195095257	2247.512032976622	50	GTEX	1	100	100	0.0	0.0015	125	8285
17	2289.314850140414	2246.186833486811	50	GTEX	1	100	100	0.0	0.0015	125	8285
18	2287.836545827158	2251.7259918328928	50	GTEX	1	100	100	0.0	0.0015	125	8285
19	2286.9695596845045	2246.900537759179	50	GTEX	1	100	100	0.0	0.0015	125	8285
20	2286.227112235471	2244.64225832863	50	GTEX	1	100	100	0.0	0.0015	125	8285
21	2284.8201258421523	2243.952981811059	50	GTEX	1	100	100	0.0	0.0015	125	8285
22	2284.389097928371	2243.8334510716195	50	GTEX	1	100	100	0.0	0.0015	125	8285
23	2283.203772319513	2245.1330157958055	50	GTEX	1	100	100	0.0	0.0015	125	8285
24	2282.000442609649	2243.1401121190293	50	GTEX	1	100	100	0.0	0.0015	125	8285
25	2281.6062004240057	2243.2879564408568	50	GTEX	1	100	100	0.0	0.0015	125	8285
26	2280.402790227938	2244.2517967079075	50	GTEX	1	100	100	0.0	0.0015	125	8285
27	2280.099750696498	2238.6661233067966	50	GTEX	1	100	100	0.0	0.0015	125	8285
28	2278.8499817365173	2242.233107186089	50	GTEX	1	100	100	0.0	0.0015	125	8285
